unit,filename
全国,N03-20240101_prefecture.json
北海道の振興局,N03-20240101_01_subprefecture.json
北海道,N03-20240101_01.json
東北地方,N03-20240101_52_prefecture.json
青森県,N03-20240101_02.json
岩手県,N03-20240101_03.json
宮城県,N03-20240101_04.json
秋田県,N03-20240101_05.json
山形県,N03-20240101_06.json
福島県,N03-20240101_07.json
関東地方,N03-20240101_53_prefecture.json
茨城県,N03-20240101_08.json
栃木県,N03-20240101_09.json
群馬県,N03-20240101_10.json
埼玉県,N03-20240101_11.json
千葉県,N03-20240101_12.json
東京都,N03-20240101_13.json
神奈川県,N03-20240101_14.json
甲信越・北陸地方,N03-20240101_54_prefecture.json
新潟県,N03-20240101_15.json
富山県,N03-20240101_16.json
石川県,N03-20240101_17.json
福井県,N03-20240101_18.json
山梨県,N03-20240101_19.json
長野県,N03-20240101_20.json
東海地方,N03-20240101_55_prefecture.json
岐阜県,N03-20240101_21.json
静岡県,N03-20240101_22.json
愛知県,N03-20240101_23.json
三重県,N03-20240101_24.json
近畿地方,N03-20240101_56_prefecture.json
滋賀県,N03-20240101_25.json
京都府,N03-20240101_26.json
大阪府,N03-20240101_27.json
兵庫県,N03-20240101_28.json
奈良県,N03-20240101_29.json
和歌山県,N03-20240101_30.json
中国地方,N03-20240101_57_prefecture.json
鳥取県,N03-20240101_31.json
島根県,N03-20240101_32.json
岡山県,N03-20240101_33.json
広島県,N03-20240101_34.json
山口県,N03-20240101_35.json
四国地方,N03-20240101_58_prefecture.json
徳島県,N03-20240101_36.json
香川県,N03-20240101_37.json
愛媛県,N03-20240101_38.json
高知県,N03-20240101_39.json
九州地方,N03-20240101_59_prefecture.json
福岡県,N03-20240101_40.json
佐賀県,N03-20240101_41.json
長崎県,N03-20240101_42.json
熊本県,N03-20240101_43.json
大分県,N03-20240101_44.json
宮崎県,N03-20240101_45.json
鹿児島県,N03-20240101_46.json
沖縄県,N03-20240101_47.json
